px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
19.9999	8.89365	8.15297	-2.18339	26.7168	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	2.37152e-321
20.2333	8.78338	8.09724	-2.43228	27.162	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	2.37152e-321
20.1944	9.41606	7.88404	0.910103	30.2444	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	2.37152e-321
20.0162	9.28449	7.80139	0.33357	30.1917	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	2.37152e-321
20.1768	9.85219	8.00449	0.250611	31.3862	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	2.37152e-321
19.8645	9.94663	7.74038	1.07145	31.6803	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	2.37152e-321
20.1421	10.4812	8.0508	-0.486977	33.8596	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	2.37152e-321
19.6682	11.0828	7.75008	3.03043	34.1843	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	2.37152e-321
20.3683	10.9912	7.37419	-2.49405	34.7011	20.371	11.0109	20.1663	10.864	0.722256	4.7934	2.37152e-321
20.4089	10.9243	7.48226	2.05882	34.2041	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	2.37152e-321
20.2769	11.327	7.57664	0.277234	35.4598	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	2.37152e-321
19.6699	11.1887	7.33211	-0.0870747	35.353	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	2.37152e-321
20.5981	11.7664	7.6873	0.456328	33.9368	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	2.37152e-321
20.1843	11.557	7.27282	1.54511	33.7891	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	2.37152e-321
20.2717	12.4976	7.72237	-2.59243	34.2317	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	2.37152e-321
20.1711	12.2452	7.87172	-1.80767	37.0429	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	2.37152e-321
20.4977	12.8921	7.60804	2.32956	37.0445	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	2.37152e-321
20.9686	12.2287	7.21023	1.33446	37.2415	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	2.37152e-321
20.221	13.1622	7.66214	-1.54783	35.7272	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	2.37152e-321
20.5061	13.4436	7.59271	1.30145	36.0727	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	2.37152e-321
20.349	13.8828	7.58983	1.60762	38.7274	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	2.37152e-321
20.1438	13.5166	7.58785	-0.637693	38.0383	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	2.37152e-321
20.104	14.313	7.57065	1.24824	37.0088	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	2.37152e-321
19.9385	14.2472	7.4628	-0.343291	34.8168	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	2.37152e-321
19.7699	14.7416	7.43252	-0.0799652	34.5629	19.781	14.773	19.934	14.6897	-1.30687	4.62805	2.37152e-321
20.0549	14.8152	7.50582	0.547029	35.0277	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	2.37152e-321
20.0326	15.1857	7.64914	-1.11473	33.2345	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	2.37152e-321
20.1531	15.439	7.55899	1.61712	33.6485	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	2.37152e-321
19.926	15.5547	7.47547	1.86425	33.0366	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	2.37152e-321
20.004	14.993	7.44346	0.0863027	33.9261	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	2.37152e-321
19.4774	15.9814	7.6912	-0.613507	32.531	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	2.37152e-321
19.1926	16.2809	7.52477	-1.64054	31.4457	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	2.37152e-321
19.2434	16.2715	7.49833	-1.65348	31.4121	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	2.37152e-321
19.3106	16.3202	7.49982	-0.276562	31.0097	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	2.37152e-321
18.9995	16.8263	7.28007	0.19665	29.8764	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	2.37152e-321
19.0332	17.0718	7.27729	1.80431	29.8101	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	2.37152e-321
18.6158	17.3833	7.4177	-1.83879	29.6959	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	2.37152e-321
18.7235	17.0388	7.47732	1.18302	30.0376	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	2.37152e-321
18.1341	17.5398	7.71439	2.16728	28.566	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	2.37152e-321
18.0338	17.2783	7.67648	1.33851	28.6434	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.37152e-321
18.2013	18.0478	7.83048	1.99973	30.252	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	2.37152e-321
18.4298	17.3597	7.58984	2.30716	30.2339	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.37152e-321
17.9012	18.2175	7.85932	-2.35492	32.5838	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	2.37152e-321
18.3881	18.5137	7.71172	-2.58515	32.5811	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	2.37152e-321
17.4445	18.6076	8.02046	-2.79255	45.1402	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	2.37152e-321
