px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	yaw_angle	yaw_rate	NIS
15.9126	3.99788	5.15974	0.633663	0.326901	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.640923	0.391345	0.220425
16.1102	4.16383	5.14475	0.661744	0.347201	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0.66049	0.39617	1.74482
16.3062	4.35758	5.16112	0.693081	0.362545	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.680299	0.400933	0.494139
16.5158	4.51893	5.17094	0.705268	0.354051	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.700345	0.405632	0.665083
16.6949	4.69146	5.16018	0.727953	0.360199	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.720627	0.410268	0.444322
16.8504	4.89431	5.12545	0.777444	0.412353	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0.74114	0.414838	4.89525
17.0153	5.11596	5.14118	0.815971	0.432026	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.761882	0.419343	0.602517
17.185	5.29426	5.12407	0.838701	0.438532	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0.782849	0.423782	1.86933
17.3469	5.47752	5.11227	0.859522	0.437869	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.804038	0.428154	0.260331
17.5021	5.65918	5.08694	0.88475	0.449179	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0.825446	0.432459	3.56547
17.6991	5.7879	5.05923	0.874652	0.413987	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.847069	0.436695	2.1651
17.8394	5.99679	5.04361	0.913057	0.44447	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.868904	0.440862	1.51489
18.0166	6.18075	5.04655	0.922716	0.430216	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.890947	0.444959	0.672655
18.1625	6.39356	5.05053	0.949778	0.437934	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.913195	0.448987	0.602073
18.2865	6.62213	5.05617	0.984091	0.451554	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.935644	0.452943	0.388382
18.4152	6.84189	5.05368	1.01474	0.46471	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.958291	0.456828	0.295263
18.5671	6.98668	5.00346	1.01218	0.438503	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.981133	0.46064	3.0017
18.7129	7.19565	5.01354	1.02379	0.421292	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	1.00417	0.46438	0.440025
18.9125	7.33549	4.98463	1.00257	0.375823	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	1.02738	0.468047	4.65968
18.9964	7.55558	4.95315	1.04945	0.42142	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	1.05079	0.47164	4.67215
19.0911	7.80146	4.96729	1.08652	0.438539	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.07437	0.475158	0.647242
19.2082	8.01562	4.96387	1.10472	0.433578	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	1.09813	0.478601	0.352974
19.2905	8.22685	4.94008	1.13267	0.441536	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.12206	0.481969	1.78449
19.3862	8.44403	4.93389	1.15137	0.433067	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	1.14615	0.48526	2.45144
19.4837	8.60018	4.86588	1.15805	0.419762	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	1.17042	0.488475	5.55353
19.5696	8.81965	4.85396	1.18518	0.431965	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	1.19484	0.491613	0.826997
19.7346	8.98841	4.82905	1.16857	0.391464	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	1.21942	0.494673	4.80752
19.8024	9.2199	4.82056	1.20565	0.420191	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.24416	0.497655	1.08226
19.9371	9.43028	4.82441	1.20545	0.39696	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	1.26904	0.500558	2.6752
19.9767	9.66435	4.80533	1.25442	0.444574	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	1.29407	0.503383	3.04924
20.0688	9.88929	4.80812	1.26866	0.435798	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	1.31923	0.506127	0.440158
20.1261	10.137	4.8252	1.29439	0.435001	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	1.34454	0.508793	6.70748
20.1784	10.3912	4.84399	1.32368	0.442324	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	1.36998	0.511377	0.354387
20.1915	10.6326	4.83094	1.37255	0.484314	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	1.39555	0.513881	3.15377
20.2539	10.8892	4.85571	1.3929	0.479032	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.42124	0.516304	1.4661
20.2821	11.1421	4.86859	1.42107	0.4802	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	1.44706	0.518645	4.73371
20.3177	11.3763	4.862	1.44342	0.478767	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	1.47299	0.520904	0.0430359
